epoch,train_loss
1,4826583.283244681
2,4547584.32712766
3,4373097.030585106
4,4325567.269946809
5,4303761.744680851
6,4287089.719414894
7,4274152.566489362
8,4263662.227393617
9,4254066.442819149
10,4246256.087765957
11,4239311.352393617
12,4233457.494680851
13,4228407.772606383
14,4223746.279255319
15,4219606.253989362
16,4216073.958111702
17,4213243.010638298
18,4210613.265957447
19,4207948.280585106
20,4206038.206117021
21,4204009.670212766
22,4202079.583776596
23,4200208.41356383
24,4199059.169547873
25,4197035.761303191
26,4196665.924202127
27,4194649.811170213
28,4193732.738031915
29,4192881.647606383
30,4191494.0871010637
31,4190552.3444148935
32,4190080.298537234
33,4188985.470744681
34,4189041.113031915
35,4187651.2686170214
36,4186261.3324468085
37,4185440.123670213
38,4185146.126329787
39,4183992.1954787234
40,4182940.484042553
41,4182292.6675531915
42,4181459.375
43,4180950.5146276597
44,4180631.561170213
45,4179267.924202128
46,4179440.309175532
47,4177555.373670213
48,4177495.581781915
49,4177418.285904255
50,4176225.5718085105
51,4174953.5146276597
52,4173723.779920213
53,4174178.847074468
54,4172629.8829787234
55,4172011.7473404254
56,4171497.074468085
57,4171810.479388298
58,4169098.130984043
59,4169202.0425531915
60,4168594.337765957
61,4168505.025930851
62,4165857.715425532
63,4165975.591755319
64,4166478.9780585105
65,4165264.6150265955
66,4163920.9375
67,4163165.625
68,4162007.36768617
69,4161177.16356383
70,4161645.1003989363
71,4161112.2420212766
72,4158803.60106383
73,4157053.6941489363
74,4157994.068484043
75,4156744.439494681
76,4155503.72606383
77,4154993.6602393617
78,4154608.942819149
79,4152168.448138298
80,4152953.7938829786
81,4151714.7506648935
82,4152040.7805851065
83,4148674.776595745
84,4149917.994680851
85,4146729.698138298
86,4146705.654920213
87,4148168.046542553
88,4145797.5824468085
89,4144571.642952128
90,4144340.7001329786
91,4143001.28856383
92,4142717.579787234
93,4142532.3337765955
94,4141011.6675531915
95,4141431.1183510637
96,4139945.8650265955
97,4138222.015957447
98,4138508.8291223403
99,4136808.970079787
100,4135991.40625
101,4135763.1728723403
102,4134712.7613031915
103,4133646.8031914895
104,4132316.857712766
105,4133330.2333776597
106,4131201.010638298
107,4129975.922207447
108,4129922.2287234045
109,4127961.876329787
110,4127952.192154255
111,4128209.352393617
112,4125627.8530585105
113,4126665.714095745
114,4125648.2087765955
115,4123529.5751329786
116,4123035.267287234
117,4124557.201462766
118,4121639.345744681
119,4121280.2686170214
120,4120357.755984043
121,4120455.825797872
122,4119688.453457447
123,4118211.310505319
124,4119690.965425532
125,4115391.130984043
126,4116551.1343085105
127,4114010.520611702
128,4112896.0186170214
129,4113703.513962766
130,4111262.321143617
131,4112509.297207447
132,4109959.6030585105
133,4110568.325797872
134,4110212.4295212766
135,4108315.9993351065
136,4108155.1748670214
137,4107073.267287234
138,4106102.244680851
139,4104670.3550531915
140,4104885.950797872
141,4105162.563829787
142,4101983.827792553
143,4101879.580452128
144,4101028.3430851065
145,4099742.0531914895
146,4099124.965425532
147,4099495.6376329786
148,4098291.9800531915
149,4097791.35106383
150,4094844.0232712766
151,4098281.973404255
152,4095770.704787234
153,4094925.807180851
154,4094632.39893617
155,4092483.924202128
156,4091951.3996010637
157,4091212.4787234045
158,4089847.8743351065
159,4089984.14893617
160,4087446.828457447
161,4089222.9055851065
162,4088937.6835106383
163,4087772.472074468
164,4086549.2712765955
165,4085118.723404255
166,4083866.6156914895
167,4084265.369015957
168,4082960.1210106383
169,4081729.432180851
170,4082284.2180851065
171,4081930.6914893617
172,4078929.0498670214
173,4079807.2094414895
174,4078929.453457447
175,4077440.059175532
176,4076638.60106383
177,4076881.5531914895
178,4076000.4055851065
179,4076239.1688829786
180,4074056.782579787
181,4073514.828457447
182,4073201.2732712766
183,4071521.736702128
184,4071246.307845745
185,4071576.988031915
186,4068511.8670212766
187,4068660.0039893617
188,4067241.1974734045
189,4066713.6535904254
190,4067294.671542553
191,4065542.324468085
192,4065484.6343085105
193,4065166.796542553
194,4063736.560505319
195,4061914.984042553
196,4060830.1103723403
197,4061771.986702128
198,4061405.4022606383
199,4059562.2021276597
200,4058887.1316489363
201,4058408.505319149
202,4059483.699468085
203,4058669.421542553
204,4055658.96875
205,4055129.611037234
206,4056254.974069149
207,4054426.1376329786
208,4052359.2214095746
209,4051076.8896276597
210,4051815.130319149
211,4051817.1210106383
212,4052247.443484043
213,4049604.7313829786
214,4050797.916888298
215,4049198.205452128
216,4048023.130319149
217,4046839.576462766
218,4047412.473404255
219,4046065.7686170214
220,4045994.0319148935
221,4045041.817154255
222,4043464.810505319
223,4043644.912234043
224,4042626.1602393617
225,4041335.400265957
226,4042038.230718085
227,4040452.64893617
228,4039135.5977393617
229,4039850.291888298
230,4039017.39893617
231,4038180.8045212766
232,4037610.3291223403
233,4036929.385638298
234,4035168.376994681
235,4034265.837765957
236,4034562.39893617
237,4033322.797207447
238,4031890.1289893617
239,4031470.5412234045
240,4031036.227393617
241,4032054.934175532
242,4029182.9853723403
243,4029399.590425532
244,4028062.85106383
245,4028978.599734043
246,4027595.590425532
247,4027544.769281915
248,4026012.0558510637
249,4026043.6349734045
250,4024994.029255319
251,4024497.4295212766
252,4023892.2579787234
253,4023845.7938829786
254,4020922.4574468085
255,4021402.0558510637
256,4022131.4767287234
257,4019437.488031915
258,4019428.9281914895
259,4019423.1256648935
260,4017192.349069149
261,4017523.2313829786
262,4015970.607047872
263,4015772.4055851065
264,4014835.001994681
265,4016289.8324468085
266,4012706.1655585105
267,4013311.7878989363
268,4013665.071143617
269,4010660.866356383
270,4010603.037234043
271,4010650.6316489363
272,4010690.859707447
273,4009637.7460106383
274,4008921.2593085105
275,4007868.859042553
276,4007446.6775265955
277,4006468.7253989363
278,4004811.591755319
279,4006171.9035904254
280,4005169.349069149
281,4003773.4035904254
282,4002460.301861702
283,4003871.956781915
284,4002815.620345745
285,4001927.017287234
286,4001863.460106383
287,3999858.498005319
288,3999629.472074468
289,3998957.5964095746
290,3998094.3125
291,3997412.099734043
292,3997663.744680851
293,3996024.789893617
294,3997140.833111702
295,3994265.5352393617
296,3993455.232047872
297,3993979.7041223403
298,3991882.602393617
299,3991311.9295212766
300,3990597.1954787234
301,3990505.9488031915
302,3989487.7267287234
303,3990525.654920213
304,3988779.057180851
305,3989567.244015957
306,3988367.6988031915
307,3986357.692819149
308,3985389.58643617
309,3985770.7214095746
310,3984407.763962766
311,3984029.550531915
312,3981706.498005319
313,3982461.454787234
314,3982811.8843085105
315,3980807.9295212766
